Dish Name,Region/Origin,Ingredients,Cultural Significance
Soy Sauce Chicken,Guangdong,Chicken soy sauce ginger garlic sugar cooking wine,Cantonese classic dish
Beijing Hot Pot,Beijing,Meat lamb beef tofu mushrooms vegetables broth,hot pot variation Beijing
Sweet Sour Shrimp,Guangdong,Shrimp bell peppers pineapple vinegar sugar ketchup soy sauce,popular shrimp dish Cantonese cuisine
Lions Head Meatballs,Jiangsu,Ground pork cabbage ginger soy sauce Shaoxing wine,traditional dish Jiangsu
Egg Foo Young,Nationwide,Eggs shrimp pork soy sauce green onions vegetables,popular ChineseAmerican dish
Hainanese Chicken Rice,Hainan China,Chicken rice garlic ginger chicken broth soy sauce,famous dish Hainan served comfort food
Pork Belly Preserved Vegetables,Guangdong,Pork belly preserved vegetables soy sauce sugar,popular dish Cantonese cuisine
Teochew Steamed Fish,Teochew Guangdong,Fish soy sauce ginger garlic sesame oil coriander,traditional Teochew dish usually served festivals
Chao Zhou Soup Teochew,Teochew Guangdong,Pork fish vegetables ginger soy sauce,comforting soup Teochew cuisine
Chicken Cashews,Cantonese,Chicken cashews soy sauce bell peppers onions oyster sauce,popular dish Cantonese restaurants
Shrimp Egg Stir Fry,Nationwide,Shrimp eggs green onions soy sauce garlic sesame oil,simple stirfry dish popular Chinese home cooking
Cantonesestyle Fried Noodles,Cantonese,Noodles soy sauce vegetables pork chicken shrimp,common Cantonese noodle dish
StirFried Shrimp Broccoli,Nationwide,Shrimp broccoli garlic soy sauce oyster sauce,healthy flavorful stirfry dish
Chinese Style Roast Pork Belly,Nationwide,Pork belly fivespice powder soy sauce honey,popular Chinese BBQ dish
Beijing Roast Duck Quanjude Style,Beijing,Duck hoisin sauce pancakes scallions cucumber,Famous Beijing dish especially Quanjude restaurant
Fried Tofu Soy Sauce Green Onion,Nationwide,Tofu soy sauce green onions garlic sesame oil,simple vegetarian dish common Chinese homes
ThreeCup Chicken Sanbeiji,Taiwan,Chicken sesame oil soy sauce rice wine basil,famous Taiwanese dish named use three key ingredients
Shui Zhu Yu Sichuan Boiled Fish,Sichuan,Fish Sichuan peppercorns chili soy sauce vegetables,spicy Sichuan delicacy
Hong Shao Rou Red Braised Pork,Shanghainese,Pork belly soy sauce sugar ginger star anise,traditional dish Shanghai
Dragon Well Shrimp,Zhejiang,Shrimp Longjing tea leaves soy sauce garlic ginger,dish Zhejiang combining seafood tea
Steamed Fish Soy Sauce,Nationwide,Fish soy sauce ginger scallions sesame oil,healthy simple Chinese dish
Glutinous Rice Dumplings Zongzi,Nationwide,Glutinous rice pork salted egg mushrooms bamboo leaves,Traditionally eaten Dragon Boat Festival
Braised Bamboo Shoots,Nationwide,Bamboo shoots soy sauce sugar mushrooms,traditional vegetable dish Chinese cuisine
Crystal Shrimp Dumplings Har Gow,Cantonese,Shrimp rice flour cornstarch bamboo shoots pork fat,popular Cantonese dim sum dish
Baos Baozi Different variations,Nationwide,Pork vegetables mushrooms bun dough,Traditional Chinese steamed buns
White Cut Chicken Bai Qie Ji,Cantonese,Chicken ginger garlic soy sauce sesame oil,classic Cantonese dish often served festivals
Steamed Meat Buns Sheng Jian Bao,Shanghai,Ground pork dough sesame oil green onions soy sauce,popular street food Shanghai
Fragrant Duck,Beijing,Duck soy sauce ginger star anise hoisin sauce,traditional Beijing dish often served holidays
Scallops Garlic,Cantonese,Scallops garlic soy sauce green onions butter,popular Cantonese dish served delicacy
Yangzhou Fried Rice,Yangzhou Jiangsu,Rice shrimp chicken vegetables egg soy sauce,famous fried rice variation Yangzhou
Pork Chive Dumplings Jiucai Jiaozi,Nationwide,Pork chives garlic ginger soy sauce dumpling wrapper,common dumpling variety Chinese homes
Yu Xiang Eggplant Fishfragrant Eggplant,Sichuan,Eggplant garlic ginger soy sauce chili paste vinegar sugar,popular Sichuan dish unique flavor profile
WokFried Chinese Broccoli Gai Lan,Nationwide,Chinese broccoli garlic oyster sauce soy sauce,healthy popular vegetable dish
Pineapple Fried Rice,Cantonese,Rice pineapple shrimp chicken peas cashews soy sauce,sweet savory dish often served pineapple halves
Chinese Scallop Cabbage Soup,Cantonese,Scallops cabbage ginger chicken broth soy sauce,light nutritious soup Cantonese cuisine
Jiangsustyle Sweet Dumplings,Jiangsu,Glutinous rice flour red bean paste sesame sugar lotus leaves,popular dessert Jiangsu region
Sweet Red Bean Soup Hongdou Tang,Nationwide,Red beans rock sugar lotus seeds ginkgo nuts,traditional Chinese dessert often eaten festivals
Xian Roujiamo Chinese Sandwich,Shaanxi,Pork flatbread garlic soy sauce coriander,street food favorite often referred Chinese hamburger
Szechuan Hot Pot,Sichuan,Beef chicken tofu mushrooms napa cabbage Sichuan peppercorns chili,famous Sichuan hot pot known spicy numbing flavors
Stewed Tofu Mushrooms,Nationwide,Tofu shiitake mushrooms soy sauce garlic ginger,comforting vegetarian dish
Peanut Soup,Nationwide,Peanuts rock sugar water ginger,sweet savory dessert common southern China
Braised Lions Head Meatballs,Jiangsu,Pork ginger cabbage soy sauce Chinese wine,classic dish Jiangsu representing strength good fortune
Sichuan Spicy Chicken,Sichuan,Chicken dried chilies Sichuan peppercorns soy sauce garlic ginger,famous dish known numbing spiciness Sichuan peppercorns
Drunken Chicken,Hunan,Chicken Shaoxing wine soy sauce ginger garlic,traditional dish Hunan often served chilled
Chongqing Chicken,Chongqing,Chicken dried chilies garlic Sichuan peppercorns soy sauce,hot spicy specialty Chongqing
Spicy Stirfried Tofu,Nationwide,Tofu chili paste garlic soy sauce green onions,popular vegetarian dish many regions
Sweet Sour Fish,Cantonese,Fish fillets vinegar sugar ketchup soy sauce bell peppers,common dish Cantonese cuisine known balance flavors
Bitter Melon Stir Fry,Nationwide,Bitter melon garlic soy sauce eggs green onions,dish often consumed purported health benefits
Pork Mushroom Stir Fry,Nationwide,Pork mushrooms soy sauce garlic ginger,homestyle stirfry found many Chinese households
Cantonese Pork Shrimp Dumplings,Cantonese,Pork shrimp ginger soy sauce dumpling wrapper,delicious dumpling variation popular Cantonese dim sum
Steamed Spare Ribs Black Bean Sauce,Cantonese,Pork spare ribs black beans garlic soy sauce rice wine,traditional Cantonese dish often served dim sum restaurants
Gong Bao Shrimp,Sichuan,Shrimp peanuts dried chilies Sichuan peppercorns soy sauce garlic,variation famous Gong Bao chicken shrimp main ingredient
Fried Pork Chop Salt Pepper,Nationwide,Pork chops salt pepper flour egg cornstarch,popular fried dish Chinese cuisine
Tofu Sweet Sour Sauce,Nationwide,Tofu vinegar sugar ketchup bell peppers,vegetarian twist classic sweet sour chicken
Cantonese Roast Duck,Cantonese,Duck soy sauce sugar honey fivespice powder,famous Cantonese dish often served celebrations
Duck Soy Sauce,Nationwide,Duck soy sauce ginger garlic star anise sugar,savory braised duck dish enjoyed across China
Chongqing Hot Sour Noodles,Chongqing,Noodles vinegar chili paste soy sauce garlic Sichuan peppercorns,spicy sour noodle dish Chongqing known bold flavors
Lions Head Soup,Jiangsu,Pork cabbage ginger soy sauce shiitake mushrooms,traditional dish symbolizing strength often served celebratory events
Stirfried Pork Green Pepper,Nationwide,Pork green peppers soy sauce garlic ginger,simple homey stirfry dish enjoyed across China
Hot Pot Pork Belly,Sichuan,Pork belly hot pot broth vegetables mushrooms,hot pot dish often enjoyed friends family Sichuan cuisine
Stirfried Shrimp Cashews,Cantonese,Shrimp cashews soy sauce green onions bell peppers,classic Cantonese stirfry known balance flavors
Chinese Shrimp Scampi,Cantonese,Shrimp garlic butter soy sauce lemon,Chinese twist Italian classic shrimp scampi
Shandong Pancakes,Shandong,Flour water salt green onions,popular Shandongstyle dish often eaten snack breakfast
Chinesestyle Fried Chicken Wings,Nationwide,Chicken wings soy sauce fivespice powder garlic ginger,staple fried dish enjoyed across Chinese restaurants
Ningbo Fish Soup,Ningbo,Fish ginger soy sauce garlic green onions,comforting soup Ningbo often served rice
Stewed Pigs Trotters,Nationwide,Pigs trotters soy sauce ginger garlic star anise rice wine,traditional dish rich collagen often consumed health benefits
Zhejiangstyle Fried Noodles,Zhejiang,Noodles soy sauce garlic vegetables pork chicken,popular Zhejiangstyle noodle dish balance savory flavors
Wuxistyle Ribs,Wuxi,Pork ribs soy sauce sugar rice wine garlic,sweet savory braised pork rib dish Wuxi
Braised Chicken Mushrooms,Nationwide,Chicken mushrooms soy sauce ginger garlic,comforting braised dish enjoyed throughout China
Fried Dumplings Leeks Pork,Nationwide,Pork leeks dumpling wrappers soy sauce ginger,classic dumpling dish often served snack appetizer
Fujianstyle Sea Cucumber,Fujian,Sea cucumber garlic ginger soy sauce rice wine,delicacy Fujian cuisine prized texture health benefits
Stirfried Eggplant Tofu,Nationwide,Eggplant tofu soy sauce garlic ginger,common vegetarian stirfry enjoyed many Chinese homes
Szechuan Braised Pork,Sichuan,Pork soy sauce sugar Sichuan peppercorns garlic ginger,popular braised dish Sichuan known rich flavors spiciness
Duck Feet Soy Sauce,Nationwide,Duck feet soy sauce ginger garlic star anise,unique delicacy Chinese cuisine often served snack
Chinesestyle Steamed Dumplings,Nationwide,Pork vegetables dumpling wrappers soy sauce garlic,classic dim sum dish enjoyed Chinese tea houses
Jinjiangstyle Fried Pork,Jinjiang,Pork soy sauce sugar ginger garlic,local specialty Jinjiang often served festive seasons
Shenzhenstyle Cantonese Pork,Shenzhen,Pork soy sauce oyster sauce sugar garlic,Cantonesestyle pork dish popular Shenzhen Guangdong
Crispy Pork Belly,Nationwide,Pork belly soy sauce fivespice powder sugar garlic,popular dish often served celebrations special occasions
Miso Soup Tofu,Nationwide Japanese,Miso paste tofu seaweed green onions dashi,traditional Japanese soup commonly served side dish
Wonton Noodle Soup,Cantonese,Wontons noodles soy sauce garlic green onions chicken broth,classic Cantonese dish commonly served snack light meal
Sichuan Spicy Noodles,Sichuan,Noodles Sichuan peppercorns chili paste soy sauce garlic,spicy savory dish known bold flavors Sichuan spices
Hot Sour Glass Noodles,Sichuan,Glass noodles vinegar chili paste tofu mushrooms,popular dish Sichuan cuisine balancing spicy sour flavors
Char Siu Bao BBQ Pork Buns,Cantonese,BBQ pork baozi dough soy sauce sugar,favorite dim sum dish sweet savory BBQ pork filling
Fried Lobster Garlic,Cantonese,Lobster garlic soy sauce green onions chili,luxurious Cantonese dish often served festive occasions
Steamed Prawns Garlic,Cantonese,Prawns garlic soy sauce green onions,popular seafood dish known simple yet flavorful preparation
Tianjin Goubuli Baozi Goubuli Buns,Tianjin,Pork ginger garlic soy sauce flour,Famous unique filling texture buns specialty Tianjin
Yunnanstyle Stirfried Rice,Yunnan,Rice vegetables soy sauce egg pork chicken,dish Yunnan known fragrant rice fresh ingredients
Chinesestyle Beef Stew,Nationwide,Beef soy sauce ginger garlic star anise potatoes,hearty comforting stew often served colder months
Shandongstyle Grilled Fish,Shandong,Fish garlic soy sauce ginger chili,specialty Shandong known focus fresh ingredients grilling
Crispy Duck Pancakes,Beijing,Duck pancakes hoisin sauce cucumber green onions,Famous Beijing dish often served ceremonial manner
Bing Chilling Chinese Ice Cream,Nationwide,Milk sugar eggs vanilla fruit flavors,popular Chinese frozen dessert gaining international fame unique flavors
Shanghaistyle Fried Tofu,Shanghai,Tofu soy sauce garlic green onions chili,classic Shanghai dish known crispy tofu savory flavor
Mushu Pork,Beijing,Pork hoisin sauce mushrooms cabbage eggs Chinese pancakes,dish rich history often served pancakes Beijingstyle dining
Chinese Fried Noodles Vegetables,Nationwide,Noodles soy sauce cabbage carrots bell peppers onions,staple stirfry dish enjoyed across China often quick meal
Beef Black Pepper Sauce,Cantonese,Beef black pepper soy sauce garlic onion,savory aromatic beef dish notable black pepper flavor
Steamed Dumplings Pork Filling,Nationwide,Pork ginger garlic soy sauce dumpling wrappers,classic dim sum dish loved delicate flavorful filling
Xian Biang Biang Noodles,Xian,Noodles soy sauce chili paste garlic vinegar,Known wide chewy noodles specialty Xian
Stirfried Kelp Pork,Nationwide,Kelp pork garlic soy sauce ginger,traditional dish combines health benefits kelp flavor pork
Baked Buns Red Bean Paste,Nationwide,Red bean paste flour sugar yeast,popular dessert Chinese bakeries known sweet red bean filling
Chinesestyle Seaweed Soup,Nationwide,Seaweed tofu sesame oil soy sauce garlic,light nourishing soup often served rice side dish
Pork Sour Cabbage,Northeast China,Pork sour cabbage soy sauce ginger garlic,traditional dish often enjoyed colder regions balancing sour savory flavors
Fishflavored Pork,Sichuan,Pork soy sauce garlic ginger pickled chilies vinegar,famous Sichuan dish known complex flavorful sauce fishflavored twist
Jiangsustyle Stirfried Shrimp,Jiangsu,Shrimp soy sauce garlic spring onions ginger,wellknown Jiangsu dish emphasizing delicate flavors seafood
Lobster Ginger Scallion,Cantonese,Lobster ginger scallions soy sauce garlic,luxurious seafood dish popular Cantonese cuisine often served special occasions
Chengdustyle Smoked Duck,Chengdu,Duck soy sauce Chinese fivespice powder sugar garlic tea leaves,traditional Chengdu dish known smoky aroma savory flavor
Steamed Stuffed Buns,Nationwide,Pork beef cabbage soy sauce ginger baozi dough,staple Chinese dim sum cuisine often enjoyed breakfast snack
Shanghaistyle Pork Dumplings,Shanghai,Pork ginger soy sauce scallions dumpling wrappers,beloved Shanghai dish known juicy soupfilled dumplings
Crab Wine Sauce,Cantonese,Crab Chinese rice wine soy sauce ginger garlic,luxurious Cantonese dish commonly served special banquets
Shandongstyle Pork Meatballs,Shandong,Pork soy sauce ginger green onions egg,traditional Shandong dish known tender meatballs
Sichuan Peppercorn Chicken,Sichuan,Chicken Sichuan peppercorns soy sauce garlic ginger,flavorful dish showcasing numbing heat Sichuan peppercorns
Pork Belly Soy Sauce,Nationwide,Pork belly soy sauce sugar ginger garlic,beloved dish throughout China known tender flavorful pork belly
Stirfried Lotus Root Pork,Nationwide,Lotus root pork soy sauce garlic ginger green onions,traditional Chinese dish combining crunchy lotus root savory pork
Stuffed Tofu Minced Pork,Nationwide,Tofu minced pork soy sauce ginger garlic,comforting dish often enjoyed side main dish
Egg Drop Soup,Nationwide,Eggs chicken broth corn starch spring onions soy sauce,light comforting soup often served starter Chinese meals
Chinese Pickled Vegetables,Nationwide,Napa cabbage carrots chili vinegar sugar,common side dish accompaniment offering tangy contrast flavors
Glutinous Rice Balls,Nationwide,Glutinous rice flour sweet fillings black sesame red bean paste,traditional dessert eaten Chinese festivals particularly Lantern Festival
Chinesestyle Fried Eggplant,Nationwide,Eggplant soy sauce garlic ginger vinegar,popular vegetable dish often enjoyed side main dish Chinese cuisine
Sushi,Nationwide Tokyo,Vinegared rice raw fish seaweed vegetables,Symbol Japanese culinary precision balance
Sashimi,Nationwide,Fresh raw fish soy sauce wasabi,Revered traditional delicacy art form
Tempura,Edo Tokyo,Shrimp vegetables flour egg batter oil,Introduced Portuguese key part Japanese cuisine
Ramen,Nationwide,Wheat noodles broth pork eggs vegetables,Popular comfort food adapted regionally
Udon,Nationwide,Thick wheat noodles soy sauce dashi broth,Staple noodle dish enjoyed yearround
Soba,Nationwide,Buckwheat noodles soy sauce dashi,Integral New Year celebrations
Onigiri Rice Balls,Nationwide,Rice seaweed fillings fish pickled plum etc,Traditional snack often found bentos
Takoyaki,Osaka,Octopus batter tempura scraps bonito flakes sauce,Street food synonymous Osaka
